Country,Date,Year,Month,Original_Value,Imputed_Value,Imputation_Method,In_Final_Test_Period
Singapore,1966-12-01,1966,12,,0.13223745338249382,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1967-01-01,1967,1,,-0.3496849817113149,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1967-02-01,1967,2,,-0.5252895950468671,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1967-03-01,1967,3,,-0.5767826771527809,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1967-04-01,1967,4,,-0.5213285887310276,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1967-05-01,1967,5,,-0.3391222982024095,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1967-06-01,1967,6,,-0.2625428427628454,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1967-07-01,1967,7,,-0.13975164697182016,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1967-08-01,1967,8,,-0.09882124837481175,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1967-09-01,1967,9,,-0.35892732978160713,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1967-10-01,1967,10,,-0.48171852557263234,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1967-11-01,1967,11,,-0.46191349399343473,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1967-12-01,1967,12,,-0.5054845634676695,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1968-01-01,1968,1,,-0.6124317339953367,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1968-02-01,1968,2,,-0.6612841452240241,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1968-03-01,1968,3,,-0.15955667855101777,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1968-04-01,1968,4,,-0.39985772837861555,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1968-05-01,1968,5,,-0.46323382943204794,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1968-06-01,1968,6,,-0.15955667855101777,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1968-07-01,1968,7,,-0.12918896346291475,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1968-08-01,1968,8,,0.09394772566271176,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1968-09-01,1968,9,,0.013407263907308092,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1968-10-01,1968,10,,-0.29687156416678795,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1968-11-01,1968,11,,-0.051289172584737475,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1968-12-01,1968,12,,-0.0011164259174368252,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1969-01-01,1969,1,,0.5613464709317756,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1969-02-01,1969,2,,0.29727938320914055,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1969-03-01,1969,3,,0.3619758197011862,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1969-04-01,1969,4,,0.5032517116327958,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1969-05-01,1969,5,,0.5164550660189275,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1969-06-01,1969,6,,0.23258294671709506,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1969-07-01,1969,7,,-0.0024367613560500045,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1969-08-01,1969,8,,-0.37213068416773887,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1969-09-01,1969,9,,0.23654395303293457,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1969-10-01,1969,10,,-0.015640115742181743,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1969-11-01,1969,11,,-0.3298799501321173,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1969-12-01,1969,12,,-0.22689378592028966,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1970-01-01,1970,1,,0.29859971864775375,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1970-02-01,1970,2,,0.111112086364683,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1970-03-01,1970,3,,0.48872802180805086,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1970-04-01,1970,4,,0.0688613523290614,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1970-05-01,1970,5,,0.10054940285577757,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1970-06-01,1970,6,,0.08074437127657996,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1970-07-01,1970,7,,-0.21237009609554475,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1970-08-01,1970,8,,-0.09221957118174588,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1970-09-01,1970,9,,-0.290269886973722,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1970-10-01,1970,10,,-0.06317219153225603,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1970-11-01,1970,11,,-0.11598560907678301,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1970-12-01,1970,12,,-0.06185185609364287,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1971-01-01,1971,1,,-0.6731671641715427,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1971-02-01,1971,2,,-0.8012397017170205,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1971-03-01,1971,3,,-0.6705264932943164,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1971-04-01,1971,4,,-0.312715589430146,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1971-05-01,1971,5,,-0.27970720346481664,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1971-06-01,1971,6,,-0.47247617750234017,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1971-07-01,1971,7,,-0.2559411655697795,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1971-08-01,1971,8,,-0.9979696820703836,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1971-09-01,1971,9,,-0.15559567223517826,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1971-10-01,1971,10,,-0.26518351364007176,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1971-11-01,1971,11,,-0.6256350883814683,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1971-12-01,1971,12,,-0.5411336203102253,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1972-01-01,1972,1,,-0.8527327838229344,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1972-02-01,1972,2,,0.05697833338154282,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1972-03-01,1972,3,,-0.6494011262765055,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1972-04-01,1972,4,,-0.4434287978528503,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1972-05-01,1972,5,,-0.06185185609364287,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1972-06-01,1972,6,,-0.10146191925203811,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1972-07-01,1972,7,,0.8716252990058716,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1972-08-01,1972,8,,0.08338504215380632,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1972-09-01,1972,9,,0.017368270223147575,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1972-10-01,1972,10,,0.20353556706760517,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1972-11-01,1972,11,,0.35537414250812027,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1972-12-01,1972,12,,0.6154802239149156,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1973-01-01,1973,1,,0.5917141860198785,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1973-02-01,1973,2,,0.8782269761989375,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1973-03-01,1973,3,,0.4002655474209682,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1973-04-01,1973,4,,0.4345942688249108,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1973-05-01,1973,5,,-0.13579064065598065,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1973-06-01,1973,6,,0.19297288355869985,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1973-07-01,1973,7,,0.21937959233096327,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1973-08-01,1973,8,,-0.10542292556787762,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1973-09-01,1973,9,,-0.43154577890533175,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1973-10-01,1973,10,,0.013407263907308092,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1973-11-01,1973,11,,-0.2665038490786849,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1973-12-01,1973,12,,-0.7154178982071642,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1974-01-01,1974,1,,-0.9676019669822805,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1974-02-01,1974,2,,-0.615072404872563,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1974-03-01,1974,3,,-0.7154178982071642,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1974-04-01,1974,4,,-0.4592728231162084,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1974-05-01,1974,5,,-0.48699986732708506,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1974-06-01,1974,6,,-0.36684934241328615,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1974-07-01,1974,7,,-0.4117407473261341,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1974-08-01,1974,8,,0.1956135544359262,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1974-09-01,1974,9,,-0.5160472469765749,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1974-10-01,1974,10,,0.010766593030081734,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1974-11-01,1974,11,,0.020008941100373934,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1974-12-01,1974,12,,-0.08429755855006683,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1975-01-01,1975,1,,0.26427099724381126,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1975-02-01,1975,2,,-0.11862627995400937,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1975-03-01,1975,3,,-0.31667659574598556,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1975-04-01,1975,4,,0.10847141548745665,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1975-05-01,1975,5,,-0.24801915293810045,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1975-06-01,1975,6,,-0.34308330451824903,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1975-07-01,1975,7,,-0.509445569783509,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1975-08-01,1975,8,,0.27483368075271664,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1975-09-01,1975,9,,-0.36816967785189936,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1975-10-01,1975,10,,0.050376656188476976,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1975-11-01,1975,11,,-0.4117407473261341,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1975-12-01,1975,12,,-0.47115584206372696,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1976-01-01,1976,1,,-1.3544602504959409,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1976-02-01,1976,2,,-0.864615802770453,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1976-03-01,1976,3,,-0.2427378111836478,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1976-04-01,1976,4,,-0.5965877087319785,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1976-05-01,1976,5,,-0.4473898041686898,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1976-06-01,1976,6,,-0.46191349399343473,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1976-07-01,1976,7,,-0.18860405820050763,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1976-08-01,1976,8,,-0.3179969311845987,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1976-09-01,1976,9,,0.194293218997313,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1976-10-01,1976,10,,-0.6361977718903737,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1976-11-01,1976,11,,-0.2876292160964957,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1976-12-01,1976,12,,-0.1793617101302154,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1977-01-01,1977,1,,-0.04732816626889795,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1977-02-01,1977,2,,-0.6612841452240241,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1977-03-01,1977,3,,-0.33648162732518316,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1977-04-01,1977,4,,0.3131234084724987,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1977-05-01,1977,5,,-0.09486024205897223,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1977-06-01,1977,6,,0.016047934784534423,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1977-07-01,1977,7,,0.062259675135995535,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1977-08-01,1977,8,,-0.10014158381342493,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1977-09-01,1977,9,,0.7858034954960151,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
